월,일,시,건구온도(℃),기압(hPa),운량(1~10),적설량(cm),강우량(mm),풍향,상대습도(%),수평면일사(W/m2),운형,퐁속(m/s),이슬점온도(℃),절대습도(Kg/Kg),공기밀도(Kg/㎥),엔탈피(KJ/Kg),직달일사(W/㎡),,
1,3 ,16,12.50 ,1007.5 ,0 ,0.00 ,0.00 ,WNW,45 ,244.44 ,0,1.7 ,0.20 ,0.0041 ,1.2357 ,22.79 ,154.67 ,,
1,3 ,17,11.40 ,1007.8 ,0 ,0.00 ,0.00 ,WNW,47 ,72.22 ,0,3.3 ,0.00 ,0.0039 ,1.2405 ,21.24 ,47.32 ,,
1,3 ,18,10.00 ,1008.0 ,0 ,0.00 ,0.00 ,NW,48 ,0.00 ,0,2.5 ,-0.20 ,0.0036 ,1.2466 ,19.21 ,0.00 ,,
1,3 ,19,8.90 ,1008.6 ,0 ,0.00 ,0.00 ,WNW,51 ,0.00 ,0,2.7 ,0.17 ,0.0036 ,1.2515 ,18.03 ,0.00 ,,
1,3 ,20,8.70 ,1009.2 ,0 ,0.00 ,0.00 ,N,55 ,0.00 ,0,1.3 ,0.53 ,0.0038 ,1.2524 ,18.29 ,0.00 ,,
1,3 ,21,8.60 ,1009.8 ,0 ,0.00 ,0.00 ,W,58 ,0.00 ,0,3.8 ,0.90 ,0.0040 ,1.2528 ,18.71 ,0.00 ,,
1,3 ,22,8.10 ,1010.1 ,0 ,0.00 ,0.00 ,NW,59 ,0.00 ,0,2.7 ,0.20 ,0.0039 ,1.2551 ,18.03 ,0.00 ,,
1,3 ,23,7.20 ,1010.3 ,0 ,0.00 ,0.00 ,N,60 ,0.00 ,0,1.7 ,-0.50 ,0.0038 ,1.2591 ,16.69 ,0.00 ,,
1,3 ,24,5.70 ,1010.6 ,0 ,0.00 ,0.00 ,N,61 ,0.00 ,0,2.2 ,-1.20 ,0.0034 ,1.2659 ,14.38 ,0.00 ,,
1,4 ,1,5.43 ,1010.8 ,0 ,0.00 ,0.00 ,N,63 ,0.00 ,Ci,7.3 ,-0.97 ,0.0035 ,1.2671 ,14.23 ,0.00 ,,
1,4 ,2,5.17 ,1011.1 ,0 ,0.00 ,0.00 ,N,65 ,0.00 ,0,3.7 ,-0.73 ,0.0035 ,1.2683 ,14.08 ,0.00 ,,
1,4 ,3,4.90 ,1011.3 ,0 ,0.00 ,0.00 ,NNW,67 ,0.00 ,0,2.5 ,-0.50 ,0.0036 ,1.2695 ,13.91 ,0.00 ,,
1,4 ,4,4.50 ,1011.5 ,0 ,0.00 ,0.00 ,N,67 ,0.00 ,0,3.7 ,-1.33 ,0.0035 ,1.2713 ,13.21 ,0.00 ,,
1,4 ,5,3.60 ,1011.7 ,0 ,0.00 ,0.00 ,N,66 ,0.00 ,0,3.5 ,-2.17 ,0.0032 ,1.2755 ,11.73 ,0.00 ,,
1,4 ,6,2.80 ,1011.9 ,0 ,0.00 ,0.00 ,N,66 ,0.00 ,0,2.0 ,-3.00 ,0.0030 ,1.2792 ,10.43 ,0.00 ,,
1,4 ,7,2.30 ,1012.5 ,0 ,0.00 ,0.00 ,N,61 ,0.00 ,0,1.7 ,-3.90 ,0.0027 ,1.2815 ,9.06 ,0.00 ,,
1,4 ,8,2.00 ,1013.2 ,0 ,0.00 ,0.00 ,NW,55 ,0.00 ,0,1.0 ,-4.80 ,0.0024 ,1.2829 ,8.03 ,0.00 ,,
1,4 ,9,3.80 ,1013.8 ,0 ,0.00 ,0.00 ,WSW,50 ,91.67 ,0,0.7 ,-5.70 ,0.0025 ,1.2746 ,10.01 ,8.87 ,,
1,4 ,10,5.00 ,1013.5 ,0 ,0.00 ,0.00 ,N,45 ,230.56 ,0,2.0 ,-6.17 ,0.0024 ,1.2691 ,11.05 ,59.48 ,,
1,4 ,11,6.00 ,1013.3 ,0 ,0.00 ,0.00 ,N,39 ,372.22 ,0,2.7 ,-6.63 ,0.0023 ,1.2645 ,11.72 ,159.81 ,,
1,4 ,12,7.40 ,1013.0 ,0 ,0.00 ,0.00 ,NE,34 ,461.11 ,0,1.8 ,-7.10 ,0.0022 ,1.2582 ,12.85 ,239.04 ,,
1,4 ,13,8.60 ,1012.5 ,1 ,0.00 ,0.00 ,NNE,31 ,500.00 ,0,2.0 ,-8.63 ,0.0021 ,1.2528 ,13.95 ,289.39 ,,
1,4 ,14,8.80 ,1011.9 ,2 ,0.00 ,0.00 ,WNW,27 ,477.78 ,Ci,3.3 ,-10.17 ,0.0019 ,1.2519 ,13.63 ,293.79 ,,
1,4 ,15,7.80 ,1011.4 ,3 ,0.00 ,0.00 ,N,24 ,386.11 ,Ci,5.0 ,-11.70 ,0.0016 ,1.2564 ,11.76 ,241.50 ,,
1,4 ,16,7.80 ,1012.2 ,4 ,0.00 ,0.00 ,W,24 ,227.78 ,Ci,4.2 ,-12.03 ,0.0016 ,1.2564 ,11.76 ,133.37 ,,
1,4 ,17,6.90 ,1012.9 ,6 ,0.00 ,0.00 ,NNW,24 ,83.33 ,Ci,4.0 ,-12.37 ,0.0015 ,1.2604 ,10.62 ,53.53 ,,
1,4 ,18,6.00 ,1013.7 ,7 ,0.00 ,0.00 ,NNW,24 ,0.00 ,Ci,2.8 ,-12.70 ,0.0014 ,1.2645 ,9.49 ,0.00 ,,
1,4 ,19,5.30 ,1013.9 ,6 ,0.00 ,0.00 ,ENE,24 ,0.00 ,Ci,1.3 ,-13.50 ,0.0013 ,1.2677 ,8.58 ,0.00 ,,
1,4 ,20,4.80 ,1014.0 ,4 ,0.00 ,0.00 ,N,23 ,0.00 ,Ci,2.3 ,-14.30 ,0.0012 ,1.2700 ,7.92 ,0.00 ,,
1,4 ,21,4.20 ,1014.2 ,3 ,0.00 ,0.00 ,N,23 ,0.00 ,Ci,2.7 ,-15.10 ,0.0012 ,1.2727 ,7.14 ,0.00 ,,
1,4 ,22,3.50 ,1014.1 ,3 ,0.00 ,0.00 ,NE,24 ,0.00 ,Ci,2.0 ,-15.10 ,0.0012 ,1.2759 ,6.42 ,0.00 ,,
1,4 ,23,2.70 ,1014.1 ,4 ,0.00 ,0.00 ,NNE,25 ,0.00 ,Ci,2.0 ,-15.10 ,0.0011 ,1.2796 ,5.57 ,0.00 ,,
1,4 ,24,2.30 ,1014.0 ,4 ,0.00 ,0.00 ,N,26 ,0.00 ,Ci,6.2 ,-15.10 ,0.0012 ,1.2815 ,5.20 ,0.00 ,,
1,5 ,1,2.17 ,1014.0 ,4 ,0.00 ,0.00 ,NE,27 ,0.00 ,0,8.3 ,-14.90 ,0.0012 ,1.2821 ,5.15 ,0.00 ,,
1,5 ,2,2.03 ,1014.0 ,5 ,0.00 ,0.00 ,N,28 ,0.00 ,Ci,5.5 ,-14.70 ,0.0012 ,1.2827 ,5.09 ,0.00 ,,
1,5 ,3,1.90 ,1014.0 ,5 ,0.00 ,0.00 ,NE,29 ,0.00 ,Ci,9.0 ,-14.50 ,0.0012 ,1.2834 ,5.04 ,0.00 ,,
1,5 ,4,1.50 ,1014.2 ,6 ,0.00 ,0.00 ,NE,30 ,0.00 ,Ci,6.2 ,-14.10 ,0.0012 ,1.2852 ,4.62 ,0.00 ,,
1,5 ,5,1.40 ,1014.4 ,6 ,0.00 ,0.00 ,NE,30 ,0.00 ,AcCi,6.2 ,-13.70 ,0.0013 ,1.2857 ,4.56 ,0.00 ,,
1,5 ,6,1.40 ,1014.6 ,7 ,0.00 ,0.00 ,NE,31 ,0.00 ,AcCi,8.7 ,-13.30 ,0.0013 ,1.2857 ,4.63 ,0.00 ,,
1,5 ,7,1.20 ,1014.8 ,6 ,0.00 ,0.00 ,NE,33 ,0.00 ,AcCi,7.8 ,-12.60 ,0.0014 ,1.2866 ,4.59 ,0.00 ,,
1,5 ,8,1.40 ,1015.1 ,6 ,0.00 ,0.00 ,NE,35 ,0.00 ,ScAc,5.3 ,-11.90 ,0.0015 ,1.2857 ,5.05 ,0.00 ,,
1,5 ,9,1.60 ,1015.3 ,5 ,0.00 ,0.00 ,NE,37 ,44.44 ,ScAc,4.0 ,-11.20 ,0.0016 ,1.2848 ,5.52 ,3.56 ,,
1,5 ,10,2.30 ,1014.7 ,3 ,0.00 ,0.00 ,NE,34 ,141.67 ,ScAc,4.2 ,-10.60 ,0.0015 ,1.2815 ,6.05 ,13.40 ,,
1,5 ,11,5.40 ,1014.0 ,2 ,0.00 ,0.00 ,N,30 ,333.33 ,0,2.3 ,-10.00 ,0.0017 ,1.2672 ,9.63 ,115.35 ,,
1,5 ,12,8.20 ,1013.4 ,0 ,0.00 ,0.00 ,S,27 ,438.89 ,0,1.5 ,-9.40 ,0.0018 ,1.2546 ,12.78 ,209.66 ,,
1,5 ,13,9.70 ,1012.6 ,0 ,0.00 ,0.00 ,W,29 ,427.78 ,0,1.7 ,-8.40 ,0.0021 ,1.2480 ,15.15 ,196.14 ,,
1,5 ,14,9.70 ,1011.8 ,0 ,0.00 ,0.00 ,W,31 ,411.11 ,0,2.8 ,-7.40 ,0.0023 ,1.2480 ,15.53 ,208.34 ,,
1,5 ,15,9.20 ,1011.0 ,0 ,0.00 ,0.00 ,W,33 ,338.89 ,0,3.0 ,-6.40 ,0.0024 ,1.2502 ,15.19 ,181.43 ,,
1,5 ,16,8.20 ,1011.1 ,3 ,0.00 ,0.00 ,W,34 ,161.11 ,0,2.8 ,-6.87 ,0.0023 ,1.2546 ,13.91 ,51.69 ,,
1,5 ,17,6.90 ,1011.3 ,7 ,0.00 ,0.00 ,W,34 ,38.89 ,As,3.2 ,-7.33 ,0.0021 ,1.2604 ,12.22 ,8.18 ,,
1,5 ,18,6.60 ,1011.4 ,10 ,0.00 ,0.00 ,WSW,35 ,0.00 ,As,1.3 ,-7.80 ,0.0021 ,1.2618 ,11.91 ,0.00 ,,
1,5 ,19,6.30 ,1011.8 ,10 ,0.00 ,0.00 ,NNW,35 ,0.00 ,As,2.3 ,-7.67 ,0.0021 ,1.2632 ,11.55 ,0.00 ,,
1,5 ,20,6.20 ,1012.2 ,9 ,0.00 ,0.00 ,NNW,36 ,0.00 ,As,2.0 ,-7.53 ,0.0021 ,1.2636 ,11.46 ,0.00 ,,
1,5 ,21,6.30 ,1012.6 ,9 ,0.00 ,0.00 ,NNE,36 ,0.00 ,As,1.0 ,-7.40 ,0.0021 ,1.2632 ,11.64 ,0.00 ,,
1,5 ,22,6.40 ,1012.4 ,9 ,0.00 ,0.00 ,N,37 ,0.00 ,As,2.3 ,-6.93 ,0.0022 ,1.2627 ,11.98 ,0.00 ,,
1,5 ,23,6.50 ,1012.2 ,10 ,0.00 ,0.00 ,NE,39 ,0.00 ,As,1.5 ,-6.47 ,0.0023 ,1.2622 ,12.32 ,0.00 ,,
1,5 ,24,6.60 ,1012.0 ,10 ,0.00 ,0.00 ,NE,40 ,0.00 ,As,3.0 ,-6.00 ,0.0024 ,1.2618 ,12.66 ,0.00 ,,
1,6 ,1,6.40 ,1012.0 ,10 ,0.00 ,0.00 ,NNE,40 ,0.00 ,Ci,1.7 ,-6.00 ,0.0024 ,1.2627 ,12.43 ,0.00 ,,
1,6 ,2,6.30 ,1011.9 ,10 ,0.00 ,0.00 ,N,41 ,0.00 ,As,1.7 ,-6.00 ,0.0024 ,1.2632 ,12.34 ,0.00 ,,
1,6 ,3,6.20 ,1011.9 ,10 ,0.00 ,0.00 ,NNE,41 ,0.00 ,As,2.0 ,-6.00 ,0.0024 ,1.2636 ,12.24 ,0.00 ,,
1,6 ,4,6.20 ,1011.6 ,8 ,0.00 ,0.00 ,NW,44 ,0.00 ,As,5.0 ,-5.00 ,0.0026 ,1.2636 ,12.64 ,0.00 ,,
1,6 ,5,6.30 ,1011.3 ,6 ,0.00 ,0.00 ,NW,46 ,0.00 ,Ac,6.0 ,-4.00 ,0.0027 ,1.2632 ,13.18 ,0.00 ,,
1,6 ,6,6.30 ,1011.0 ,4 ,0.00 ,0.00 ,NNW,49 ,0.00 ,Ac,6.3 ,-3.00 ,0.0029 ,1.2632 ,13.57 ,0.00 ,,
1,6 ,7,6.30 ,1011.3 ,4 ,0.00 ,0.00 ,N,49 ,0.00 ,Ac,5.3 ,-3.27 ,0.0029 ,1.2632 ,13.57 ,0.00 ,,
1,6 ,8,5.90 ,1011.6 ,3 ,0.00 ,0.00 ,N,49 ,0.00 ,Sc,3.0 ,-3.53 ,0.0028 ,1.2650 ,12.97 ,0.00 ,,
1,6 ,9,6.20 ,1011.9 ,3 ,0.00 ,0.00 ,N,49 ,63.89 ,Sc,3.5 ,-3.80 ,0.0029 ,1.2636 ,13.42 ,5.11 ,,
1,6 ,10,7.70 ,1011.6 ,2 ,0.00 ,0.00 ,NNW,49 ,213.89 ,Sc,3.3 ,-2.70 ,0.0032 ,1.2569 ,15.72 ,46.17 ,,
1,6 ,11,9.00 ,1011.4 ,1 ,0.00 ,0.00 ,N,49 ,336.11 ,0,5.3 ,-1.60 ,0.0035 ,1.2511 ,17.78 ,117.58 ,,
1,6 ,12,9.80 ,1011.1 ,0 ,0.00 ,0.00 ,NNW,49 ,422.22 ,0,3.5 ,-0.50 ,0.0037 ,1.2475 ,19.07 ,187.88 ,,
1,6 ,13,10.80 ,1010.5 ,0 ,0.00 ,0.00 ,NE,47 ,458.33 ,0,2.7 ,-0.03 ,0.0037 ,1.2431 ,20.25 ,233.26 ,,
1,6 ,14,12.80 ,1010.0 ,1 ,0.00 ,0.00 ,NW,44 ,397.22 ,Sc,6.3 ,0.43 ,0.0040 ,1.2344 ,23.07 ,189.12 ,,
1,6 ,15,13.40 ,1009.4 ,1 ,0.00 ,0.00 ,NW,42 ,344.44 ,Sc,4.0 ,0.90 ,0.0040 ,1.2319 ,23.53 ,186.77 ,,
1,6 ,16,12.60 ,1009.7 ,1 ,0.00 ,0.00 ,N,42 ,233.33 ,Sc,4.8 ,-0.13 ,0.0038 ,1.2353 ,22.28 ,136.79 ,,
1,6 ,17,11.40 ,1010.1 ,0 ,0.00 ,0.00 ,NNE,43 ,77.78 ,0,2.0 ,-1.17 ,0.0035 ,1.2405 ,20.40 ,49.91 ,,
1,6 ,18,10.50 ,1010.4 ,0 ,0.00 ,0.00 ,W,43 ,0.00 ,0,2.5 ,-2.20 ,0.0034 ,1.2444 ,19.03 ,0.00 ,,
1,6 ,19,8.90 ,1011.0 ,0 ,0.00 ,0.00 ,N,41 ,0.00 ,0,4.7 ,-3.37 ,0.0029 ,1.2515 ,16.25 ,0.00 ,,
1,6 ,20,8.10 ,1011.6 ,0 ,0.00 ,0.00 ,NNW,40 ,0.00 ,0,5.0 ,-4.53 ,0.0026 ,1.2551 ,14.78 ,0.00 ,,
1,6 ,21,7.40 ,1012.2 ,0 ,0.00 ,0.00 ,N,38 ,0.00 ,0,2.0 ,-5.70 ,0.0024 ,1.2582 ,13.49 ,0.00 ,,
1,6 ,22,6.60 ,1012.7 ,1 ,0.00 ,0.00 ,S,41 ,0.00 ,0,2.0 ,-5.80 ,0.0024 ,1.2618 ,12.76 ,0.00 ,,
1,6 ,23,7.10 ,1013.1 ,2 ,0.00 ,0.00 ,SSE,43 ,0.00 ,Ci,3.7 ,-5.90 ,0.0027 ,1.2595 ,13.90 ,0.00 ,,
1,6 ,24,4.80 ,1013.6 ,3 ,0.00 ,0.00 ,ESE,46 ,0.00 ,Ci,1.8 ,-6.00 ,0.0024 ,1.2700 ,10.94 ,0.00 ,,
1,7 ,1,3.50 ,1014.2 ,2 ,0.00 ,0.00 ,NW,44 ,0.00 ,As,3.3 ,-7.27 ,0.0021 ,1.2759 ,8.85 ,0.00 ,,
1,7 ,2,3.00 ,1014.9 ,1 ,0.00 ,0.00 ,SW,42 ,0.00 ,0,2.5 ,-8.53 ,0.0020 ,1.2782 ,7.92 ,0.00 ,,
