월,일,시,건구온도(℃),기압(hPa),운량(1~10),적설량(cm),강우량(mm),풍향,상대습도(%),수평면일사(W/m2),운형,퐁속(m/s),이슬점온도(℃),절대습도(Kg/Kg),공기밀도(Kg/㎥),엔탈피(KJ/Kg),직달일사(W/㎡)
1,1,15,1.2,1004.6,10,0,0,WNW,68,58.33,StAs,4.7,-4.1,0.0028,1.2866,8.2,4.67
1,1,16,1.1,1005.2,9,0,0,WNW,69,22.22,StAs,4.3,-4.1,0.0028,1.2871,8.18,1.78
1,1,17,0.8,1005.8,9,0,0,W,71,0,Ac,4.8,-4.1,0.0028,1.2885,7.86,0
1,1,18,0.4,1006.4,8,0,0,WNW,72,0,Ac,4.3,-4.1,0.0028,1.2904,7.39,0
1,1,19,-0.7,1006.8,5,0,0,WNW,68,0,Ac,6.3,-5.6,0.0024,1.2956,5.41,0
1,1,20,-1.4,1007.1,3,0,0,WNW,65,0,0,4.5,-7.1,0.0022,1.2989,4.08,0
1,1,21,-2.4,1007.5,0,0,0,NW,61,0,0,5,-8.6,0.0019,1.3037,2.39,0
1,1,22,-3.1,1008,0,0,0,NW,62,0,0,5,-9.17,0.0019,1.3071,1.52,0
1,1,23,-3.8,1008.5,0,0,0,WNW,63,0,0,3.8,-9.73,0.0018,1.3105,0.65,0
1,1,24,-4.5,1009,0,0,0,WNW,64,0,0,1.7,-10.3,0.0017,1.3139,-0.22,0
1,2,1,-5,1009.7,0,0,0,W,62,0,Ac,2.8,-11.1,0.0016,1.3164,-1.01,0
1,2,2,-5.5,1010.3,0,0,0,WNW,60,0,0,3.2,-11.9,0.0015,1.3188,-1.79,0
1,2,3,-6,1011,0,0,0,NW,58,0,0,1.3,-12.7,0.0014,1.3213,-2.55,0
1,2,4,-6.5,1011.3,0,0,0,W,56,0,0,3.7,-13.5,0.0013,1.3238,-3.3,0
1,2,5,-6.8,1011.7,0,0,0,W,54,0,0,2.5,-14.3,0.0012,1.3253,-3.79,0
1,2,6,-7.2,1012,0,0,0,W,52,0,0,1.8,-15.1,0.0011,1.3273,-4.4,0
1,2,7,-7.3,1012.4,0,0,0,W,50,0,0,2,-15.77,0.0011,1.3278,-4.65,0
1,2,8,-7.4,1012.9,0,0,0,WNW,47,0,0,2.3,-16.43,0.001,1.3283,-4.89,0
1,2,9,-7.3,1013.3,0,0,0,W,45,11.11,0,1.8,-17.1,0.001,1.3278,-4.9,0.89
1,2,10,-6.4,1013.3,0,0,0,NW,40,22.22,0,4,-17.63,0.0009,1.3233,-4.09,1.78
1,2,11,-5.5,1013.4,0,0,0,WNW,36,41.67,0,4.3,-18.17,0.0009,1.3188,-3.31,3.33
1,2,12,-4.7,1013.4,0,0,0,W,31,52.78,0,5.2,-18.7,0.0008,1.3149,-2.67,4.22
1,2,13,-4.3,1013.3,1,0,0,WNW,29,47.22,0,5.7,-19.63,0.0008,1.313,-2.34,3.78
1,2,14,-4.2,1013.2,1,0,0,WNW,27,47.22,Ci,5.2,-20.57,0.0007,1.3125,-2.37,3.78
1,2,15,-4.3,1013.1,2,0,0,WNW,25,38.89,Ci,7.5,-21.5,0.0007,1.313,-2.62,3.11
1,2,16,-4.5,1013.6,3,0,0,WNW,27,8.33,Ci,6,-21.87,0.0007,1.3139,-2.73,0.67
1,2,17,-5.4,1014,3,0,0,WNW,28,0,Ci,4,-22.23,0.0007,1.3183,-3.65,0
1,2,18,-5.9,1014.5,4,0,0,W,30,0,Ci,4,-22.6,0.0007,1.3208,-4.12,0
1,2,19,-6.5,1014.4,4,0,0,WNW,31,0,Ci,1.7,-22.6,0.0007,1.3238,-4.73,0
1,2,20,-6.9,1014.3,3,0,0,NW,33,0,Ci,2.7,-22.6,0.0007,1.3258,-5.11,0
1,2,21,-7,1014.2,3,0,0,NW,34,0,Ci,1,-22.6,0.0008,1.3263,-5.15,0
1,2,22,-7,1014.3,2,0,0,NW,35,0,Ci,1.8,-21.9,0.0008,1.3263,-5.09,0
1,2,23,-7.2,1014.4,1,0,0,NW,36,0,0,2.3,-21.2,0.0008,1.3273,-5.27,0
1,2,24,-7.5,1014.5,0,0,0,NW,37,0,0,1.8,-20.5,0.0008,1.3288,-5.56,0
1,3,1,-7.83,1014.3,0,0,0,W,41,0,0,1.3,-19.63,0.0008,1.3304,-5.76,0
1,3,2,-8.17,1014.2,0,0,0,W,44,0,0,0.8,-18.77,0.0009,1.3321,-5.96,0
1,3,3,-8.5,1014,0,0,0,N,48,0,0,1,-17.9,0.001,1.3338,-6.17,0
1,3,4,-9.1,1013.9,1,0,0,NE,50,0,0,0.8,-17.4,0.0009,1.3368,-6.79,0
1,3,5,-9.4,1013.9,2,0,0,NE,52,0,Ac,0.8,-16.9,0.001,1.3383,-7.06,0
1,3,6,-9,1013.8,3,0,0,NNE,54,0,Ac,1,-16.4,0.001,1.3363,-6.48,0
1,3,7,-9.2,1013.8,2,0,0,NE,56,0,Ac,1.7,-15.97,0.0011,1.3373,-6.62,0
1,3,8,-9,1013.7,1,0,0,NE,59,0,0,1.2,-15.53,0.0011,1.3363,-6.26,0
1,3,9,-8.6,1013.7,0,0,0,NE,61,36.11,0,1.7,-15.1,0.0012,1.3343,-5.66,2.89
1,3,10,-6.6,1012.9,2,0,0,NNE,57,41.67,0,1.5,-14.3,0.0013,1.3243,-3.39,3.33
1,3,11,-4,1012.1,4,0,0,E,52,52.78,Ac,0.8,-13.5,0.0015,1.3115,-0.37,4.22
1,3,12,-3.1,1011.3,6,0,0,NE,48,100,Ac,2,-12.7,0.0014,1.3071,0.47,8
1,3,13,-2.1,1010,7,0,0,ESE,59,63.89,Ac,1.7,-10.03,0.0019,1.3023,2.64,5.11
1,3,14,-1,1008.7,9,0,0,SSE,70,69.44,StAs,2.5,-7.37,0.0025,1.297,5.12,5.56
1,3,15,-1.8,1007.4,10,0,0,SSE,81,5.56,StAs,2,-4.7,0.0027,1.3009,4.87,0.44
1,3,16,-1.7,1007.6,10,0,0.57,SSW,78,28.99,StAs,1.7,-4.93,0.0026,1.3004,4.77,2.32
1,3,17,-0.7,1007.8,9,0,1.13,W,75,0,ScAc,4.3,-5.17,0.0027,1.2956,6.01,0
1,3,18,-1,1008,9,0,1.7,W,72,0,ScAc,6,-5.4,0.0025,1.297,5.29,0
1,3,19,-1.7,1008.9,9,0,1.13,WNW,72,0,ScAc,4,-6.87,0.0024,1.3004,4.3,0
1,3,20,-2.6,1009.8,9,0,0.57,WNW,73,0,ScAs,6.3,-8.33,0.0023,1.3047,3.03,0
1,3,21,-5.9,1010.7,9,0,0,WNW,73,0,ScAs,8.3,-9.8,0.0018,1.3208,-1.52,0
1,3,22,-6.8,1011.5,9,0,0,W,73,0,ScAs,5,-10.43,0.0017,1.3253,-2.72,0
1,3,23,-7.5,1012.3,9,0,0,NW,73,0,ScAs,2.8,-11.07,0.0016,1.3288,-3.64,0
1,3,24,-7.6,1013.1,9,0,0,WNW,73,0,ScAs,3.3,-11.7,0.0016,1.3293,-3.77,0
1,4,1,-7.93,1013.5,8,0,0,W,69,0,0,2,-12.83,0.0014,1.3309,-4.41,0
1,4,2,-8.27,1013.8,6,0,0,NW,65,0,ScAc,3.5,-13.97,0.0013,1.3326,-5.04,0
1,4,3,-8.6,1014.2,5,0,0,WNW,61,0,ScAc,4.7,-15.1,0.0012,1.3343,-5.66,0
1,4,4,-9.2,1014,3,0,0,W,56,0,ScAc,3.2,-16.3,0.0011,1.3373,-6.63,0
1,4,5,-9.6,1013.9,2,0,0,WNW,51,0,0,3.2,-17.5,0.0009,1.3394,-7.34,0
1,4,6,-9.9,1013.7,0,0,0,WNW,46,0,0,1.5,-18.7,0.0008,1.3409,-7.92,0
1,4,7,-10.1,1014.1,0,0,0,WNW,46,0,0,0.8,-18.7,0.0008,1.3419,-8.15,0
1,4,8,-10.5,1014.6,0,0,0,W,46,0,0,1.3,-18.7,0.0008,1.3439,-8.62,0
1,4,9,-9.8,1015,0,0,0,WSW,46,36.11,0,2.2,-18.7,0.0008,1.3404,-7.8,2.89
1,4,10,-9.2,1014.6,0,0,0,W,44,91.67,0,2.3,-18.7,0.0008,1.3373,-7.19,7.33
1,4,11,-8,1014.2,0,0,0,WNW,42,172.22,0,2.5,-18.7,0.0009,1.3313,-5.89,18.16
1,4,12,-7.3,1013.8,0,0,0,NW,40,250,0,4,-18.7,0.0009,1.3278,-5.17,44.4
1,4,13,-6.7,1013.1,0,0,0,WNW,40,305.56,0,4,-18.17,0.0009,1.3248,-4.44,82.72
1,4,14,-6.2,1012.5,0,0,0,WNW,41,297.22,0,4.8,-17.63,0.001,1.3223,-3.83,92.29
1,4,15,-5.8,1011.8,0,0,0,WNW,41,247.22,0,5,-17.1,0.001,1.3203,-3.33,82.98
1,4,16,-5.8,1012.1,1,0,0,W,42,152.78,0,4.3,-17.63,0.001,1.3203,-3.27,47.67
1,4,17,-6.5,1012.3,1,0,0,WNW,43,27.78,Ci,6.3,-18.17,0.001,1.3238,-4.05,2.93
1,4,18,-7.5,1012.6,2,0,0,WNW,44,0,Ci,4.3,-18.7,0.0009,1.3288,-5.19,0
1,4,19,-8.2,1012.5,1,0,0,W,45,0,Ci,3.7,-18.7,0.0009,1.3323,-5.97,0
1,4,20,-9.2,1012.5,1,0,0,WNW,46,0,0,4,-18.7,0.0009,1.3373,-7.1,0
1,4,21,-9.7,1012.4,0,0,0,W,47,0,0,5,-18.7,0.0008,1.3399,-7.64,0
1,4,22,-10.1,1012.5,0,0,0,WNW,48,0,0,4.7,-18.7,0.0008,1.3419,-8.08,0
1,4,23,-10.6,1012.6,0,0,0,NW,48,0,0,3.8,-18.7,0.0008,1.3445,-8.63,0
1,4,24,-10.6,1012.7,0,0,0,NW,49,0,0,5.2,-18.7,0.0008,1.3445,-8.61,0
1,5,1,-11.15,1012.6,0,0,0,W,50,0,ScAs,1.7,-19,0.0008,1.3473,-9.22,0
1,5,2,-11.4,1012.4,0,0,0,WNW,50,0,0,1.5,-19.3,0.0008,1.3486,-9.49,0
1,5,3,-11.7,1012.3,0,0,0,WNW,51,0,0,1.5,-19.6,0.0008,1.3501,-9.81,0
1,5,4,-12,1012,0,0,0,W,53,0,0,1,-19.6,0.0008,1.3517,-10.09,0
1,5,5,-12.1,1011.7,0,0,0,W,54,0,0,2.3,-19.6,0.0008,1.3522,-10.15,0
1,5,6,-12.2,1011.4,0,0,0,W,56,0,0,3,-19.6,0.0008,1.3527,-10.2,0
1,5,7,-12,1011.6,0,0,0,WNW,56,0,0,3,-19.3,0.0008,1.3517,-9.98,0
1,5,8,-12,1011.8,0,0,0,WNW,55,0,0,3.7,-19,0.0008,1.3517,-9.99,0
1,5,9,-11.6,1012,0,0,0,NW,55,0,0,4.3,-18.7,0.0009,1.3496,-9.54,0
1,5,10,-10.9,1011.6,0,0,0,NW,51,147.22,0,4.7,-19,0.0008,1.346,-8.87,18.87
1,5,11,-10.5,1011.3,0,0,0,WNW,47,233.33,0,5.3,-19.3,0.0008,1.3439,-8.57,46.1
1,5,12,-9.2,1010.9,0,0,0,NW,43,286.11,0,6.2,-19.6,0.0008,1.3373,-7.24,68.3
1,5,13,-8.6,1010.6,0,0,0,WNW,42,302.78,0,7,-19.3,0.0008,1.3343,-6.57,79.62
1,5,14,-8.1,1010.3,0,0,0,WNW,42,275,0,6,-19,0.0009,1.3318,-6.02,71.44
1,5,15,-7.7,1010,0,0,0,WNW,41,205.56,0,7,-18.7,0.0009,1.3298,-5.59,45.58
1,5,16,-7.3,1010.5,0,0,0,WNW,42,119.44,0,7,-18.43,0.0009,1.3278,-5.06,21.07
1,5,17,-7.7,1011,0,0,0,WNW,43,0,0,5.3,-18.17,0.0009,1.3298,-5.48,0
1,5,18,-8.3,1011.5,0,0,0,W,44,0,0,5,-17.9,0.0009,1.3328,-6.14,0
1,5,19,-8.6,1012,0,0,0,WNW,46,0,0,3.7,-18.17,0.0009,1.3343,-6.39,0
1,5,20,-9,1012.6,0,0,0,W,48,0,0,3.5,-18.43,0.0009,1.3363,-6.77,0
1,5,21,-9.4,1013.1,0,0,0,WNW,50,0,0,2.7,-18.7,0.0009,1.3383,-7.15,0
1,5,22,-9.8,1013.4,0,0,0,NW,55,0,0,3,-18.17,0.001,1.3404,-7.42,0
1,5,23,-10.4,1013.8,0,0,0,WNW,59,0,0,3,-17.63,0.001,1.3434,-7.93,0
1,5,24,-10.8,1014.1,0,0,0,NW,64,0,0,2.5,-17.1,0.0011,1.3455,-8.22,0
1,6,1,-11.1,1014.1,0,0.7,0,NNE,65,0,0,1.3,-17.1,0.0011,1.347,-8.55,0
1,6,2,-11.4,1014.1,0,1.4,0,N,66,0,0,1.8,-17.1,0.001,1.3486,-8.87,0
1,6,3,-11.7,1014.1,0,2.1,0,NNE,67,0,0,1.2,-17.1,0.001,1.3501,-9.2,0
1,6,4,-12,1014.2,0,1.4,0,NNE,69,0,0,1,-16.87,0.001,1.3517,-9.5,0
1,6,5,-12.3,1014.4,0,0.7,0,NNE,70,0,0,1,-16.63,0.001,1.3532,-9.8,0
1,6,6,-12.3,1014.5,0,0,0,NE,72,0,0,1,-16.4,0.0011,1.3532,-9.74,0
1,6,7,-12.2,1014.9,0,0,0,ENE,74,0,0,1.3,-15.77,0.0011,1.3527,-9.56,0
1,6,8,-12.2,1015.4,0,0,0,NNE,75,0,0,1.2,-15.13,0.0011,1.3527,-9.49,0
1,6,9,-11.6,1015.8,0,0,0,NE,77,22.22,0,1.3,-14.5,0.0012,1.3496,-8.69,1.78
1,6,10,-10,1015.6,0,0,0,NE,70,136.11,0,1.8,-14.1,0.0012,1.3414,-6.97,14.9
1,6,11,-8.2,1015.5,0,0,0,NE,64,233.33,0,1.2,-13.7,0.0013,1.3323,-5.03,45.76
1,6,12,-5.8,1015.3,0,0,0,SW,57,305.56,0,0.8,-13.3,0.0014,1.3203,-2.36,83.62
1,6,13,-4.4,1015,0,0,0,SW,55,355.56,0,2.3,-12.77,0.0015,1.3134,-0.67,129.64
1,6,14,-3.3,1014.8,0,0,0,WNW,54,333.33,0,2.3,-12.23,0.0016,1.3081,0.63,127.61
1,6,15,-3.2,1014.5,0,0,0,W,52,255.56,0,3.2,-11.7,0.0015,1.3076,0.64,89.07
1,6,16,-3.3,1014.8,0,0,0,WNW,51,127.78,0,3.2,-12.43,0.0015,1.3081,0.41,25.54
1,6,17,-3.3,1015,0,0,0,WNW,49,16.67,0,3,-13.17,0.0015,1.3081,0.31,1.33
1,6,18,-4.3,1015.3,0,0,0,WNW,48,0,0,1.7,-13.9,0.0013,1.313,-1.05,0
1,6,19,-4.8,1015.2,1,0.37,0,NW,52,0,0,1.3,-13.17,0.0014,1.3154,-1.39,0
1,6,20,-5.4,1015.2,3,0.73,0,WNW,57,0,Ac,1.2,-12.43,0.0014,1.3183,-1.87,0
1,6,21,-5.6,1015.1,4,1.1,0,NW,61,0,Ac,0.3,-11.7,0.0015,1.3193,-1.86,0
1,6,22,-5.5,1015,6,0.73,0,ENE,60,0,Ac,1.2,-11.7,0.0015,1.3188,-1.77,0
1,6,23,-5.3,1015,8,0.37,0,NE,60,0,As,1,-11.7,0.0015,1.3179,-1.55,0
1,6,24,-5,1014.9,10,0,0,NE,59,0,As,1.7,-11.7,0.0015,1.3164,-1.21,0
1,7,1,-4.93,1014.3,10,0,0,NE,58,0,0,1.7,-11.87,0.0015,1.3161,-1.21,0
1,7,2,-4.87,1013.7,10,0,0,ENE,56,0,ScAs,2,-12.03,0.0015,1.3157,-1.21,0
1,7,3,-4.8,1013.1,10,0,0,ENE,55,0,ScAs,2.5,-12.2,0.0014,1.3154,-1.21,0
1,7,4,-5,1012.3,10,0,0,NE,62,0,ScAs,2.5,-11.13,0.0016,1.3164,-1.03,0
1,7,5,-5.2,1011.4,10,0,0,ENE,68,0,ScNs,3.5,-10.07,0.0017,1.3174,-0.87,0
1,7,6,-5.4,1010.6,10,0,0,ENE,75,0,ScNs,3.2,-9,0.0019,1.3183,-0.72,0
1,7,7,-5.4,1010.1,10,0,0.1,ENE,81,0,ScNs,3,-8,0.002,1.3183,-0.34,0
1,7,8,-5.4,1009.5,10,0,0.2,ENE,87,0,ScNs,3.3,-7,0.0022,1.3183,0.04,0
1,7,9,-5,1009,10,0,0.3,ENE,93,2.78,ScNs,2.3,-6,0.0024,1.3164,1,0.22
1,7,10,-4.6,1009,10,0,0.23,ENE,93,2.78,ScNs,2.5,-5.8,0.0025,1.3144,1.61,0.22
1,7,11,-4.3,1009,10,0,0.17,NNE,94,16.67,StSc,1,-5.6,0.0026,1.313,2.08,1.33
1,7,12,-4.3,1009,10,0,0.1,NW,94,33.33,StSc,2.7,-5.4,0.0026,1.313,2.1,2.67
1,7,13,-3.1,1008.6,8,0,0.07,NNE,86,122.22,StSc,1,-5.6,0.0026,1.3071,3.3,9.78
1,7,14,-1.6,1008.3,7,0,0.03,WNW,77,127.78,Sc,3,-5.8,0.0026,1.2999,4.87,10.05
1,7,15,-0.9,1007.9,5,0,0,WNW,69,258.33,Sc,3.8,-6,0.0024,1.2966,5.18,90.63
1,7,16,-1.5,1008.5,4,0,0,W,69,161.11,Sc,3.3,-6.87,0.0023,1.2994,4.34,52.09
1,7,17,-2.4,1009,3,0,0,W,70,30.56,Sc,5.8,-7.73,0.0022,1.3037,3.08,3.12
1,7,18,-3.7,1009.6,2,0,0,W,70,0,Sc,7,-8.6,0.002,1.31,1.28,0
1,7,19,-4.8,1010.2,1,0,0,WNW,71,0,Sc,5.3,-9.17,0.0019,1.3154,-0.16,0
1,7,20,-5.9,1010.7,1,0,0,W,72,0,0,3,-9.73,0.0017,1.3208,-1.58,0
1,7,21,-6.4,1011.3,0,0,0,WNW,73,0,0,3.3,-10.3,0.0017,1.3233,-2.19,0
1,7,22,-6.7,1011.5,0,0,0,N,73,0,0,2,-10.77,0.0017,1.3248,-2.57,0
1,7,23,-7,1011.8,0,0,0,NNE,74,0,0,1.3,-11.23,0.0016,1.3263,-2.95,0
1,7,24,-7.4,1012,0,0,0,NW,74,0,0,1,-11.7,0.0016,1.3283,-3.46,0
1,8,1,-7.6,1012,0,0,0,WNW,74,0,As,2.5,-11.7,0.0016,1.3293,-3.7,0
1,8,2,-7.8,1012,0,0,0,W,75,0,0,2.3,-11.7,0.0016,1.3303,-3.95,0
1,8,3,-8,1012,0,0,0,W,75,0,0,2.2,-11.7,0.0015,1.3313,-4.19,0
1,8,4,-8.5,1011.9,0,0,0,WNW,72,0,0,3,-12.63,0.0014,1.3338,-4.99,0
1,8,5,-9.2,1011.8,0,0,0,NW,69,0,0,2,-13.57,0.0013,1.3373,-6.02,0
1,8,6,-9.5,1011.7,0,0,0,NE,66,0,0,1.5,-14.5,0.0012,1.3388,-6.54,0
1,8,7,-9.9,1011.9,0,2.47,0,W,67,0,0,1.7,-14.7,0.0012,1.3409,-6.99,0
1,8,8,-10.6,1012.1,0,4.93,0,NW,68,0,0,0.5,-14.9,0.0011,1.3445,-7.81,0
1,8,9,-9.9,1012.3,0,7.4,0,WNW,69,61.11,0,2.3,-15.1,0.0012,1.3409,-6.9,4.88
1,8,10,-9.2,1012.1,0,4.93,0,W,64,186.11,0,2.3,-14.7,0.0012,1.3373,-6.24,39.05
1,8,11,-8,1012,0,2.47,0,WNW,60,294.44,0,2.8,-14.3,0.0012,1.3313,-4.98,94.69
1,8,12,-6.3,1011.8,0,0,0,W,55,347.22,0,2.3,-13.9,0.0013,1.3228,-3.11,122.13
1,8,13,-5.6,1011.3,0,0,0,WNW,51,361.11,0,3.5,-14.3,0.0013,1.3193,-2.48,133.3
1,8,14,-5,1010.9,0,0,0,WNW,47,341.67,0,4.5,-14.7,0.0012,1.3164,-1.98,134.18
1,8,15,-4.5,1010.4,0,0,0,WNW,43,252.78,0,3.8,-15.1,0.0012,1.3139,-1.63,83.55
1,8,16,-4.4,1010.6,0,0,0,W,46,141.67,0,4,-13.97,0.0013,1.3134,-1.28,33.8
1,8,17,-4.9,1010.9,0,0,0,W,50,72.22,0,4.5,-12.83,0.0013,1.3159,-1.69,38.32
1,8,18,-6.1,1011.1,0,0,0,WNW,53,0,0,4.8,-11.7,0.0013,1.3218,-2.98,0
1,8,19,-6.3,1011.5,0,0,0,WNW,57,0,0,3.2,-12.03,0.0013,1.3228,-3.01,0
1,8,20,-6.5,1011.9,0,0,0,WNW,60,0,0,2,-12.37,0.0014,1.3238,-3.05,0
1,8,21,-7,1012.3,0,0,0,W,64,0,0,0.8,-12.7,0.0014,1.3263,-3.48,0
1,8,22,-7.2,1012.4,0,0,0,W,65,0,0,0.7,-12.7,0.0014,1.3273,-3.67,0
1,8,23,-7.2,1012.5,0,0,0,WNW,67,0,0,1.8,-12.7,0.0015,1.3273,-3.59,0
1,8,24,-7.6,1012.6,0,0,0,정온,68,0,0,0.2,-12.7,0.0014,1.3293,-4.04,0
1,9,1,-7.8,1012.6,0,0.07,0,N,70,0,0,0.8,-12.37,0.0015,1.3303,-4.19,0
1,9,2,-8,1012.7,0,0.13,0,NNE,72,0,0,1.2,-12.03,0.0015,1.3313,-4.34,0
1,9,3,-8.2,1012.7,0,0.2,0,NNE,74,0,0,1,-11.7,0.0015,1.3323,-4.5,0
1,9,4,-8.7,1012.7,0,0.13,0,NNE,78,0,0,0.8,-11.7,0.0015,1.3348,-4.97,0
1,9,5,-9.2,1012.7,0,0.07,0,NNE,81,0,0,1.7,-11.7,0.0015,1.3373,-5.45,0
1,9,6,-9.7,1012.7,0,0,0,NNE,85,0,0,1.5,-11.7,0.0015,1.3399,-5.93,0
1,9,7,-9.9,1013.2,0,0.4,0,NE,85,0,0,1,-11.7,0.0015,1.3409,-6.19,0
1,9,8,-10.1,1013.6,0,0.8,0,NE,85,0,0,1,-11.7,0.0015,1.3419,-6.45,0
1,9,9,-9.6,1014.1,0,1.2,0,NE,85,61.11,0,1.5,-11.7,0.0015,1.3394,-5.8,4.87
1,9,10,-8.1,1013.9,0,0.8,0,NE,76,138.89,0,1.3,-11.53,0.0015,1.3318,-4.29,15.47
1,9,11,-5.9,1013.8,0,0.4,0,NE,66,236.11,0,1.7,-11.37,0.0016,1.3208,-1.92,46.38
1,9,12,-3.5,1013.6,0,0,0,SSW,57,313.89,0,1,-11.2,0.0017,1.3091,0.62,88.69
1,9,13,-2.3,1013,0,1,0,W,53,291.67,0,1.8,-11.37,0.0017,1.3033,1.87,67.78
1,9,14,-1.2,1012.4,0,2,0,WSW,48,241.67,0,2.5,-11.53,0.0017,1.298,2.96,44.67
1,9,15,-0.6,1011.8,0,3,0,WNW,44,161.11,0,2.8,-11.7,0.0016,1.2951,3.36,19.63
1,9,16,-0.8,1011.8,1,2,0,W,49,136.11,0,4.3,-10.8,0.0018,1.2961,3.57,28.87
1,9,17,-1.6,1011.8,2,1,0,W,55,27.78,Ci,3.5,-9.9,0.0018,1.2999,2.96,2.3
1,9,18,-2.3,1011.8,3,0,0,W,60,0,Ci,2,-9,0.0019,1.3033,2.45,0
1,9,19,-2.5,1012.1,4,0,0,W,63,0,Ci,2,-8.87,0.002,1.3042,2.39,0
1,9,20,-3,1012.4,4,0,0,NW,65,0,Ci,0.8,-8.73,0.002,1.3066,1.91,0
1,9,21,-3.6,1012.7,5,0,0,NW,68,0,Ci,0.3,-8.6,0.002,1.3095,1.28,0
1,9,22,-3.2,1012.6,7,0,0,NW,70,0,Ci,0.5,-8.1,0.0021,1.3076,2,0
1,9,23,-3.5,1012.5,8,0,0,N,73,0,ScAs,1.2,-7.6,0.0021,1.3091,1.76,0
1,9,24,-3.3,1012.4,10,0,0,NNE,75,0,ScAs,1,-7.1,0.0022,1.3081,2.21,0
1,10,1,-3.23,1012.2,10,0,0,NE,76,0,0,0.7,-6.73,0.0023,1.3078,2.4,0
1,10,2,-3.17,1012,10,0,0,NNE,78,0,ScAs,1,-6.37,0.0023,1.3074,2.6,0
1,10,3,-3.1,1011.8,10,0,0,NE,79,0,ScAs,0.5,-6,0.0024,1.3071,2.79,0
1,10,4,-2.97,1011.5,10,0,0,NNE,80,0,ScAs,0.8,-5.8,0.0024,1.3065,3.06,0
1,10,5,-2.83,1011.3,9,0,0,NNE,81,0,ScAc,1.3,-5.6,0.0025,1.3058,3.34,0
1,10,6,-2.7,1011,9,0,0,NNE,82,0,ScAc,1.7,-5.4,0.0025,1.3052,3.61,0
1,10,7,-2.6,1011.3,7,0,0,NNE,82,0,ScAc,1,-4.87,0.0026,1.3047,3.76,0
1,10,8,-1.9,1011.5,5,0,0,WNW,82,0,Sc,1,-4.33,0.0027,1.3013,4.8,0
1,10,9,-1.2,1011.8,3,0,0,WNW,82,52.78,Sc,1.8,-3.8,0.0028,1.298,5.87,4.22
1,10,10,-0.4,1011.6,4,0,0,NW,74,152.78,Sc,2,-4.67,0.0027,1.2942,6.4,20.36
1,10,11,0.1,1011.3,6,0,0,NW,67,247.22,Ci,4,-5.53,0.0025,1.2918,6.43,53.38
1,10,12,0.8,1011.1,7,0,0,WNW,59,266.67,Ci,4.2,-6.4,0.0024,1.2885,6.69,51.92
1,10,13,1.2,1010.9,7,0,0,WNW,56,305.56,Ci,5.3,-6.73,0.0023,1.2866,6.99,77.86
1,10,14,1.6,1010.6,7,0,0,WNW,54,258.33,Cs,4.7,-7.07,0.0023,1.2848,7.28,54.76
1,10,15,1.1,1010.4,7,0,0,WNW,51,180.56,Cs,3.8,-7.4,0.0021,1.2871,6.31,27.47
1,10,16,0.6,1010.6,6,0,0,WNW,54,100,Cs,4.3,-7.53,0.0021,1.2895,5.88,10.76
1,10,17,-0.1,1010.7,5,0,0,W,56,25,ScCi,3.7,-7.67,0.0021,1.2928,5.16,1.96
1,10,18,-0.8,1010.9,4,0,0,WNW,59,0,ScCi,3.5,-7.8,0.0021,1.2961,4.43,0
